,lon,lat,value
394,106.46,29.5736,53.0877192982
395,106.424,29.8264,51.8421052632
396,106.626,29.7228,40.8070175439
397,106.296,29.5983,46.2368421053
398,106.54,29.5186,52.1842105263
399,106.65,29.6219,45.5701754386
400,106.634,29.4892,45.850877193
401,106.364,29.4822,48.4649122807
402,106.571,29.5642,41.0877192982
403,106.512,29.5164,53.1666666667
404,106.617,29.7125,41.850877193
405,106.468,29.4892,39.6315789474
406,106.562,29.6453,57.9473684211
407,106.452,29.709,53.4298245614
408,106.513,29.389,55.9210526316
409,106.591,29.4272,54.8888888889
410,103.97275,30.72358333,41.149122807
411,104.176,30.6872,46.9210526316
412,104.079,30.5706,49.1315789474
413,104.1113889,30.63,45.1052631579
414,104.074,30.685,45.4298245614
415,104.054,30.6578,53.5438596491
416,103.613,31.0283,33.9385964912
417,106.6856,26.6029,36.5789473684
418,106.6971,26.5689,39.198019802
419,106.6243,26.6266,33.4561403509
420,106.7487,26.6343,33.798245614
421,106.6554,26.4364,39.2752293578
422,106.6948,26.5155,31.4649122807
423,106.7105,26.6009,38.1769911504
424,106.7164,26.5697,38.9210526316
425,102.743,25.0124,25.9035087719
426,102.821,24.8885,19.6842105263
427,102.625,24.9624,18.9473684211
428,102.728,25.0836,21.9298245614
429,102.722,25.0405,26.0438596491
430,102.681,25.067,24.1228070175
431,102.638,25.0359,23.350877193
432,91.1319,29.6514,26.7454545455
433,91.1221,29.6747,29.5555555556
434,91.0874,29.6475,16.6228070175
435,91.1774,29.6541,17.4298245614
436,90.9798,29.6588,17.8303571429
437,91.0834,29.6292,15.298245614
438,108.882,34.2749,64.8157894737
439,108.993,34.2629,56.875
440,108.94,34.2324,60.4561403509
441,108.954,34.2713,69.0789473684
442,108.883,34.2303,54.4122807018
443,108.935,34.3474,59.0175438596
444,108.906,34.1546,62.0614035088
445,109.2,34.6575,57.2807017544
446,109.2186,34.3731,59.1666666667
447,108.869,34.378,48.3157894737
448,108.985,34.1978,67.6666666667
449,109.043,34.3274,60.1769911504
450,103.712,36.0756,25.3771929825
451,103.631,36.1031,37.3333333333
452,104.148,35.94,30.9035087719
453,103.841,36.0725,27.0877192982
454,103.831,36.0464,42.1441441441
455,101.748,36.6428,32.4035087719
456,101.749,36.6922,32.9903846154
457,101.834,36.5819,32.9210526316
458,101.524,36.6867,38.3716814159
459,105.9512,38.6016,25.1315789474
460,106.2682,38.4744,35.8392857143
461,106.217,38.4536,37.6140350877
462,106.0715,38.4858,32.3771929825
463,106.2328,38.4975,52.201754386
464,106.1358,38.5036,47.9203539823
465,87.5801,43.8303,80.2719298246
466,87.6046,43.768,54.0964912281
467,87.4754,43.9469,75.4824561404
468,87.5525,43.8711,75.7543859649
469,87.6432,43.831,81.2
470,87.4171,43.8729,71.3303571429
471,87.6444,43.962,26.8230088496
472,112.9433,27.8614,45.4649122807
473,112.9118,27.8403,50.4912280702
474,112.8937,27.8728,48.0964912281
475,112.9227,27.8159,55.4298245614
476,113.135,27.8244,67.3947368421
477,113.095,27.8867,59.0350877193
478,113.167,27.8667,53.4897959184
479,113.143,27.8381,56.2894736842
480,113.13,27.8528,52.649122807
481,106.805,26.3003,29.2894736842
482,113.251,27.8336,49.5
483,113.0048,27.9153,58.7105263158
484,112.4876,27.9164,49.7647058824
485,109.8756,40.6532,77.1228070175
486,109.8104,40.6575,79.4035087719
487,110.0067,40.5905,82.7807017544
488,109.8538,40.6821,80.0701754386
489,109.8654,40.6288,70.9122807018
490,110.0377,40.5546,72.9736842105
491,110.0023,39.8129,38.5526315789
492,109.9486,39.8261,38.0438596491
493,109.7736,39.5986,34.4824561404
494,109.8119,39.5989,38.3684210526
495,109.9734,39.7884,34.350877193
496,122.2414,40.6592,36.380952381
497,122.2703,40.7094,33.3157894737
498,122.215,40.6511,35.649122807
499,122.1658,40.6789,29.9473684211
500,124.3303,40.0625,79.850877193
501,124.4256,40.1503,78.6666666667
502,124.3933,40.1461,74.4035087719
503,124.3678,40.1194,86.4298245614
504,122.0247,41.1556,83.8378378378
505,122.0539,41.0903,73.9561403509
506,121.835,41.1042,60.1315789474
507,120.9092,40.7136,70.8070175439
508,120.8392,40.7514,64.2368421053
509,120.8478,40.715,61.0087719298
510,120.8631,40.7736,72.4473684211
511,118.5819,24.9117,28.6929824561
512,118.5972,24.8978,29.0789473684
513,118.6663,24.9424,25.2105263158
514,118.6108,24.9617,18.5614035088
515,117.685,36.205,81.6228070175
516,117.6789,36.2289,70.7543859649
517,117.715,36.2081,71.1315789474
518,118.3418,35.0573,62.2019230769
519,118.2939,35.0622,69.4210526316
520,118.2764,34.9817,68.5
521,118.4023,35.0896,67.1578947368
522,116.2729,37.4504,121.859649123
523,116.3189,37.4489,115.631578947
524,115.9848,36.4372,95.6578947368
525,115.9835,36.4796,97.3157894737
526,118.0062,37.3803,77.9035087719
527,118.0018,37.3617,82.8947368421
528,117.9776,37.393,73.1929824561
529,118.0482,36.8088,72.7456140351
530,118.0448,36.838,72.6315789474
531,117.8477,36.497,72.2456140351
532,118.3092,36.8198,64.1136363636
533,117.8512,36.8041,81.1315789474
534,117.5564,34.864,78.3571428571
535,117.2852,34.7837,83.7280701754
536,117.5852,34.7745,83.6666666667
537,117.732,34.5667,63.9035087719
538,117.4518,35.0992,76.4385964912
539,121.2514,37.5639,49.6403508772
540,121.3719,37.5433,65.950617284
541,121.4478,37.4822,33.5614035088
542,121.2611,37.4967,37.8947368421
543,121.5953,37.3872,39.4601769912
544,119.12,36.7019,53.8245614035
545,119.1425,36.7008,57.1150442478
546,119.1939,36.7731,59.3333333333
547,116.6305,35.428,74.6052631579
548,116.5856,35.4144,81.2192982456
549,116.5546,35.4039,64.5350877193
550,117.1436,36.1942,49.3684210526
551,117.0881,36.1942,43.9736842105
552,117.1081,36.1758,47.9649122807
553,119.4641,35.4178,56.3157894737
554,119.5198,35.4234,48.6228070175
555,122.1206,37.4294,36.7807017544
556,122.0508,37.5325,38.4035087719
557,122.1067,37.5072,38.0
558,118.5019,37.4658,72.1946902655
559,118.6672,37.4314,66.2212389381
560,118.5857,37.4442,75.4912280702
561,113.586606,24.769519,23.1140350877
562,113.5593889,24.81119444,21.0964912281
563,113.598061,24.795928,20.1140350877
564,113.6734722,24.77908333,23.5614035088
565,113.5970833,24.68636111,27.1228070175
566,116.6794,23.3667,33.6140350877
567,116.7244,23.3633,32.0614035088
568,116.7258,23.2775,33.7719298246
569,116.7519,23.4714,34.0
570,116.6092,23.2539,43.972972973
571,116.4019,23.2536,44.9298245614
572,110.3539,21.2706,18.8157894737
573,110.3928,21.2228,11.1929824561
574,110.4019,21.1997,15.649122807
575,110.4111,21.2028,20.798245614
576,110.3316,21.2679,17.4473684211
577,110.4558,21.2567,13.2543859649
578,111.0286,21.4689,21.8333333333
579,110.9294,21.6533,26.7192982456
580,110.9067,21.6669,32.7280701754
581,110.8592,21.6828,21.6306306306
582,116.1278,24.3289,26.5964912281
583,116.0797,24.2719,29.3859649123
584,116.1248,24.2654,27.9298245614
585,115.3653,22.775,29.0796460177
586,115.3706,22.7898,31.9247311828
587,115.3622,22.7925,31.0877192982
588,114.6778,23.7569,26.9824561404
589,114.6944,23.7586,19.4857142857
590,114.6892,23.7233,17.7280701754
591,111.9786,21.8586,24.4824561404
592,111.9494,21.865,22.4122807018
593,113.0425,23.6936,45.6578947368
594,113.0208,23.7106,46.0175438596
595,113.0622,23.6272,38.1929824561
596,116.6339,23.6714,54.3548387097
597,116.6447,23.6706,40.1559633028
598,116.6175,23.6531,47.1891891892
599,116.3697,23.5353,43.3157894737
600,116.3242,23.5486,39.3982300885
601,116.3594,23.5739,39.0350877193
602,116.4094,23.5292,47.3245614035
603,112.0369,22.9394,16.7456140351
604,112.0539,22.9539,19.4210526316
605,102.5778,24.3694,21.7719298246
606,102.5433,24.3603,26.3720930233
607,102.4964,24.3411,24.1578947368
608,115.42277,35.248889,87.5526315789
609,115.474722,35.2375,87.5526315789
610,115.455,35.27,87.0560747664
611,113.3819,40.1097,72.5789473684
612,113.2858,40.0958,59.8771929825
613,113.2994,40.0758,65.5350877193
614,113.3444,40.0917,58.9035087719
615,113.2661,40.1269,56.1754385965
616,113.2711,40.0844,55.6140350877
617,113.1097,36.1542,58.798245614
618,113.0972,36.1939,59.8421052632
619,113.0886,36.2126,86.2280701754
620,113.0844444,36.1855,57.8596491228
621,111.5125,36.0978,51.0090909091
622,111.5531,36.0783,45.4649122807
623,111.5028,36.0714,41.5526315789
624,111.5169,36.0822,40.1315789474
625,111.5025,36.0875,38.7543859649
626,111.4917,36.0417,27.7719298246
627,113.5753,37.8564,89.6315789474
628,113.4922,37.8792,58.0701754386
629,113.5922,37.8561,71.8070175439
630,113.6292,37.8531,59.2368421053
631,113.5689,37.8694,66.6902654867
632,113.5158,37.85,48.7522123894
633,118.9233,42.2814,72.9821428571
634,118.8789,42.2556,62.5350877193
635,119.2719,42.0317,69.6754385965
636,123.044,41.1196,73.5877192982
637,123.011,41.0931,80.8333333333
638,123.0485,41.1442,80.0789473684
639,122.9642,41.0971,86.7543859649
640,122.9481,41.0833,82.8859649123
641,123.0156,41.0831,79.1052631579
642,123.1289,41.0228,51.3859649123
643,123.81,41.8469,76.3333333333
644,123.9169,41.8828,70.2363636364
645,124.0383,41.8625,56.4385964912
646,123.9,41.8594,83.2456140351
647,124.0878,41.8864,53.8859649123
648,123.7117,41.8417,70.1578947368
649,123.8436,41.3283,57.0964912281
650,123.7528,41.3369,62.850877193
651,123.7308,41.3047,60.7105263158
652,123.7669,41.2864,64.4912280702
653,123.7989,41.2692,45.9824561404
654,123.8142,41.3472,37.3684210526
655,121.0986,41.0781,81.4561403509
656,121.045,40.8333,69.3451327434
657,121.2008,41.1219,77.4385964912
658,121.1178,41.1222,74.5350877193
659,121.1303,41.1386,73.7280701754
660,126.555,43.8875,42.1754385965
661,126.5844,43.8358,35.1403508772
662,126.4978,43.8228,43.5350877193
663,126.5786,43.8947,45.2523364486
664,126.55,43.8256,38.8947368421
665,126.6772,43.7256,29.2631578947
666,123.9305,47.3636,45.1140350877
667,123.9305,47.3386,60.8070175439
668,123.9483,47.3227,41.701754386
669,123.6261,47.203,57.2719298246
670,123.945,47.2988,41.5090909091
671,129.61,44.561,41.8421052632
672,129.6115,44.5782,47.7719298246
673,129.5902,44.5952,45.7543859649
674,129.6459,44.6104,61.5
675,129.6386,44.5462,37.5175438596
676,124.8354,46.0347,57.2456140351
677,125.112,46.528,56.2719298246
678,124.8847,46.3991,43.3070175439
679,125.1386,46.5776,63.0263157895
680,124.8648,46.6219,46.2477876106
681,118.3528,31.3508,43.5526315789
682,118.37,31.4189,38.2807017544
683,118.3708,31.3178,37.4122807018
684,118.4022,31.3839,34.5596330275
685,118.5058,31.6861,59.350877193
686,118.4828,31.6411,61.649122807
687,118.5106,31.7506,35.2192982456
688,118.48,31.6928,58.649122807
689,118.6439,31.7133,58.0087719298
690,115.9872,29.6816,54.504950495
691,115.9581,29.7048,46.4824561404
692,115.988,29.7292,48.6228070175
693,116.0174,29.6535,42.7807017544
694,116.0628,29.6926,47.4824561404
695,115.9114,29.6039,64.0614035088
696,116.0726,29.7534,35.7894736842
697,115.9936,29.5867,13.3070175439
698,112.3628,34.6692,80.701754386
699,112.3939,34.6511,103.157894737
700,112.4333,34.67,103.921052632
701,112.4664,34.6869,105.333333333
702,112.4831,34.6869,125.692982456
703,112.3844,34.6231,114.640350877
704,112.4275,34.6258,101.728070175
705,114.483,36.061,97.0877192982
706,114.358,36.087,148.166666667
707,114.3931,36.0883,132.280701754
708,114.286,36.11,140.535087719
709,114.3406,34.8022,61.5350877193
710,114.3389,34.7781,70.2719298246
711,114.3733,34.7975,63.6666666667
712,114.2886,34.7967,56.5229357798
713,113.261,35.235,118.149122807
714,113.227,35.213,108.456140351
715,113.2464,35.1764,99.8256880734
716,113.1992,35.259,130.333333333
717,113.3064,33.7214,109.833333333
718,113.322,33.721,117.114035088
719,113.292,33.739,118.649122807
720,113.182,33.737,103.385964912
721,111.1928,34.7772,92.6052631579
722,111.158,34.794,108.324561404
723,111.1858,34.7917,102.114035088
724,111.1489,34.7997,102.850877193
725,111.3009,30.7157,74.3684210526
726,111.2992,30.698,74.1929824561
727,111.3549,30.6463,75.4561403509
728,111.268,30.696,75.0350877193
729,111.3296,30.7819,93.8230088496
730,112.2551,30.3175,80.9912280702
731,112.2068,30.3515,77.7719298246
732,112.2887,30.3055,83.1061946903
733,113.1094,29.3578,53.0614035088
734,113.1493,29.4251,44.7719298246
735,113.1772,29.3678,57.3859649123
736,113.2621,29.4758,47.9912280702
737,112.9943,29.4402,53.7894736842
738,113.2117,29.355,67.9871794872
739,111.7044,29.0244,53.2368421053
740,111.6975,28.9703,56.2719298246
741,111.6753,29.0239,51.9523809524
742,111.6794,29.0381,44.2368421053
743,111.7158,29.1456,35.9459459459
744,110.48,29.1389,51.6140350877
745,110.4697,29.1242,54.9385964912
746,110.5594,29.3547,29.6666666667
747,110.4417,29.315,34.5964912281
748,110.4144,25.3167,28.850877193
749,110.2819,25.2697,35.0614035088
750,110.3089,25.2708,32.0263157895
751,110.2869,25.2178,29.3070175439
752,109.2256,21.5958,25.3596491228
753,109.1436,21.4086,24.3771929825
754,109.0981,21.4661,24.350877193
755,109.1778,21.5233,23.1140350877
756,109.4883,24.3898,33.1315789474
757,109.4108,24.3304,29.8157894737
758,109.3886,24.3406,40.2894736842
759,109.4221,24.299,36.7543859649
760,109.3957,24.3663,39.0614035088
761,109.4839,24.3158,33.2807017544
762,109.5078,18.2489,22.3947368421
